"Part";"Value";"Device";"Package";"Description";"";
"BATT1";"SMTU2032";"SMTU2032";"SMTU2032";"";"";
"C1";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"100uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C7";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C24";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C25";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C26";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C28";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C29";"UWT1E221MNL1GS";"UWT1E221MNL1GS";"NICHICON-ALMINUM-CAPACITOR-8MM";"";"";
"C30";"0.1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C31";"33p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C32";"33p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C33";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C34";"1u";"C-EU";"C5750";"CAPACITOR, European symbol";"";
"C35";"1u";"C-EU";"C5750";"CAPACITOR, European symbol";"";
"D1";"RFN2L4STE25";"RFN2L4STE25";"SOD-106";"";"";
"D3";"MMSZ5267BT1G";"MMSZ5267BT1G";"SOD123";"";"";
"J1";"ZX62R-AB-5P";"ZX62R-AB-5P";"ZX62R-B-5PA";"";"";
"J2";"DC_JACK_2DC0005D100";"DC_JACK_2DC0005D100";"DC_JACK_2DC0005D100";"AKIZUKIDENSHI";"";
"J3";"FSM-21045-20";"FSM-21045-20";"FSM-21045-20";"";"";
"J4";"PIN_HEADER_MALE_1X05_05P";"PIN_HEADER_MALE_1X05_05P";"PIN_HEADER_MALE_1X05_05P";"";"";
"J5";"ZX62R-AB-5P";"ZX62R-AB-5P";"ZX62R-B-5PA";"";"";
"L1";"LPR6235";"LPR6235";"LPR6235";"";"";
"LED1";"RX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"LED2";"TX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"LED6";"LED1";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"Q1";"IRLML6344TRPBFTR";"IRLML6344TRPBFTR";"SOT23-N-MOSFET";"";"";
