"Part";"Value";"Device";"Package";"Description";"";
"BATT1";"SMTU2032";"SMTU2032";"SMTU2032";"";"";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"10uF";"C-EUC3216";"C3216";"CAPACITOR, European symbol";"";
"C3";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"";"C-EUC3225";"C3225";"CAPACITOR, European symbol";"";
"C6";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"10uF";"C-EUC3216";"C3216";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"270pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"47pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"47pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C24";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D1";"SS2040FL";"SS2040FL";"SOD-123FL";"";"";
"D2";"BZX584C3V9";"BZX584C3V9";"SOD-523";"";"";
"DIS1";"IV18";"IV18";"IV18";"LCD DISPLAY";"";
"J1";"ZX62R-AB-5P";"ZX62R-AB-5P";"ZX62R-B-5PA";"";"";
"J2";"2DC-0415D200";"2DC-0415D200";"2DC-0415D200";"";"";
